temperature,humidity,feed_intake,water_consumption,activity_level,symptoms,disease
42.3,40.7,Medium,Medium,Moderate,Reduced Feeding|Ruffled Feathers|Difficulty Breathing|Nasal Discharge|Coughing,Avian Influenza
43.4,89.9,Low,Low,Active,Reduced Feeding|Watery Eyes|Reduced Egg Production|Sneezing|Swollen Head|Ruffled Feathers|Lethargy,Avian Influenza
42.2,53.4,Low,Low,Moderate,Reduced Feeding|Swollen Head|Watery Eyes|Ruffled Feathers,Avian Influenza
40.7,64.2,Medium,Medium,Active,Diarrhea|Reduced Feeding,Healthy
41.0,64.0,High,High,Active,Nasal Discharge|Reduced Egg Production,Healthy
41.5,75.4,High,Low,Weak,Reduced Egg Production|Lethargy|Reduced Feeding|Coughing|Difficulty Breathing|Twisted Neck,Newcastle Disease
42.3,81.3,Low,Low,Weak,Lethargy|Twisted Neck|Swollen Head|Nasal Discharge,Newcastle Disease
41.0,55.1,Medium,Medium,Active,None,Healthy
42.7,51.1,Low,Medium,Weak,Ruffled Feathers|Difficulty Breathing|Coughing|Diarrhea|Reduced Egg Production,Newcastle Disease
41.1,55.8,High,High,Active,None,Healthy
41.8,87.5,Low,High,Weak,Watery Eyes|Twisted Neck|Nasal Discharge|Swollen Head|Lethargy|Sneezing|Difficulty Breathing,Avian Influenza
41.6,64.6,High,High,Weak,Sneezing|Reduced Egg Production,Healthy
41.9,86.2,Low,Low,Active,Twisted Neck|Reduced Egg Production|Difficulty Breathing|Sneezing,Newcastle Disease
41.1,68.2,High,High,Moderate,None,Healthy
41.8,88.5,Medium,Low,Active,Coughing|Reduced Egg Production|Watery Eyes|Lethargy|Difficulty Breathing,Newcastle Disease
43.2,100.0,Low,Medium,Weak,Difficulty Breathing|Lethargy|Sneezing|Twisted Neck|Diarrhea|Ruffled Feathers,Newcastle Disease
41.9,61.2,High,High,Moderate,None,Healthy
41.2,64.9,Low,Medium,Weak,Difficulty Breathing|Coughing|Nasal Discharge|Sneezing|Swollen Head,Avian Influenza
41.6,74.2,Low,Low,Weak,Coughing|Sneezing|Swollen Head|Diarrhea|Watery Eyes,Avian Influenza
42.3,53.3,Medium,Low,Weak,Nasal Discharge|Difficulty Breathing|Swollen Head|Reduced Feeding,Avian Influenza
43.4,78.6,Medium,Low,Weak,Difficulty Breathing|Swollen Head|Nasal Discharge,Avian Influenza
42.3,63.2,Low,Low,Weak,Watery Eyes|Nasal Discharge|Coughing|Reduced Feeding|Difficulty Breathing|Sneezing|Diarrhea,Newcastle Disease
41.4,63.4,Low,High,Weak,Watery Eyes|Sneezing|Swollen Head|Reduced Egg Production|Ruffled Feathers,Avian Influenza
41.7,70.6,High,Medium,Weak,Lethargy,Healthy
41.6,56.3,Medium,High,Active,Reduced Egg Production|Twisted Neck,Healthy
41.5,59.6,Medium,High,Active,None,Healthy
41.2,61.8,High,High,Moderate,None,Healthy
40.8,50.9,High,Medium,Active,Watery Eyes,Healthy
40.5,42.2,High,Medium,Moderate,None,Healthy
43.4,67.7,Low,Medium,Weak,Nasal Discharge|Difficulty Breathing|Ruffled Feathers|Reduced Egg Production,Avian Influenza
41.2,74.4,Medium,Medium,Active,None,Healthy
41.6,66.4,Medium,Medium,Active,None,Healthy
42.9,91.8,Low,Low,Weak,Twisted Neck|Reduced Feeding|Lethargy|Sneezing|Nasal Discharge|Coughing|Difficulty Breathing,Newcastle Disease
40.9,57.3,High,Medium,Moderate,None,Healthy
42.7,55.2,Low,Low,Moderate,Difficulty Breathing|Nasal Discharge|Reduced Egg Production,Avian Influenza
41.2,76.5,Low,High,Active,Lethargy,Healthy
41.6,67.2,Low,Low,Moderate,Ruffled Feathers|Difficulty Breathing|Swollen Head|Coughing|Watery Eyes,Avian Influenza
41.1,83.1,Medium,Low,Weak,Watery Eyes|Nasal Discharge|Diarrhea|Coughing,Avian Influenza
40.3,50.4,Low,High,Active,Sneezing,Healthy
40.6,63.3,Low,High,Moderate,None,Healthy
41.6,87.3,Low,Low,Weak,Ruffled Feathers|Coughing|Swollen Head|Nasal Discharge|Reduced Feeding|Reduced Egg Production|Difficulty Breathing,Avian Influenza
43.4,80.0,Low,Low,Weak,Coughing|Difficulty Breathing|Swollen Head|Diarrhea|Lethargy|Reduced Feeding|Watery Eyes,Avian Influenza
42.4,64.5,Low,Low,Weak,Reduced Feeding|Lethargy|Nasal Discharge|Ruffled Feathers,Avian Influenza
41.8,84.2,Low,Low,Weak,Sneezing|Lethargy|Difficulty Breathing|Watery Eyes,Avian Influenza
41.3,64.7,High,High,Active,None,Healthy
41.5,52.3,High,High,Moderate,Nasal Discharge|Watery Eyes,Healthy
41.0,65.2,Medium,High,Active,None,Healthy
41.2,84.1,Medium,Low,Weak,Swollen Head|Diarrhea|Coughing|Twisted Neck|Lethargy|Difficulty Breathing|Reduced Feeding,Avian Influenza
41.8,96.8,Medium,Low,Weak,Ruffled Feathers|Difficulty Breathing|Coughing|Twisted Neck|Lethargy|Reduced Egg Production|Sneezing,Newcastle Disease
41.3,52.1,Low,High,Moderate,None,Healthy
41.6,67.4,High,High,Moderate,None,Healthy
41.4,42.6,Low,High,Moderate,None,Healthy
41.4,70.5,Medium,High,Moderate,None,Healthy
41.8,80.9,Medium,Low,Weak,Reduced Feeding|Coughing|Difficulty Breathing|Twisted Neck,Avian Influenza
42.2,80.0,High,High,Weak,Difficulty Breathing|Ruffled Feathers|Lethargy|Sneezing,Newcastle Disease
42.5,68.1,Low,Medium,Moderate,Nasal Discharge|Twisted Neck|Reduced Feeding|Watery Eyes|Lethargy,Avian Influenza
42.5,97.8,Low,Medium,Weak,Twisted Neck|Reduced Feeding|Watery Eyes|Reduced Egg Production|Difficulty Breathing|Lethargy,Newcastle Disease
41.5,71.7,High,High,Active,Diarrhea,Healthy
42.2,65.4,Low,Low,Moderate,Nasal Discharge|Swollen Head|Difficulty Breathing|Reduced Egg Production,Avian Influenza
41.1,86.5,Low,Medium,Weak,Reduced Feeding|Diarrhea|Swollen Head|Nasal Discharge|Difficulty Breathing|Ruffled Feathers,Avian Influenza
42.2,75.1,Low,Medium,Weak,Ruffled Feathers|Coughing|Reduced Egg Production|Twisted Neck|Reduced Feeding|Difficulty Breathing,Newcastle Disease
41.9,77.9,Low,High,Weak,Swollen Head|Coughing|Sneezing|Reduced Feeding|Reduced Egg Production,Avian Influenza
42.7,64.4,Low,Low,Moderate,Sneezing|Ruffled Feathers|Nasal Discharge|Watery Eyes|Twisted Neck,Newcastle Disease
43.1,74.5,Low,High,Weak,Sneezing|Ruffled Feathers|Watery Eyes,Newcastle Disease
41.3,88.0,Low,Medium,Weak,Lethargy|Difficulty Breathing|Reduced Egg Production|Ruffled Feathers|Twisted Neck|Coughing,Newcastle Disease
41.2,55.6,High,Low,Weak,Reduced Feeding|Sneezing,Healthy
40.9,62.9,Medium,High,Active,Lethargy,Healthy
41.1,63.6,Medium,High,Moderate,Reduced Feeding,Healthy
43.1,81.6,Medium,Medium,Active,Reduced Feeding|Difficulty Breathing|Twisted Neck|Ruffled Feathers|Watery Eyes|Lethargy|Nasal Discharge,Newcastle Disease
41.2,53.6,High,High,Moderate,Diarrhea|Lethargy,Healthy
41.9,78.0,Low,Medium,Weak,Coughing|Lethargy|Difficulty Breathing|Nasal Discharge|Swollen Head|Diarrhea,Newcastle Disease
41.2,36.9,Low,Low,Weak,Difficulty Breathing|Nasal Discharge|Lethargy|Ruffled Feathers|Reduced Egg Production|Watery Eyes|Reduced Feeding,Avian Influenza
42.3,57.6,High,Medium,Active,None,Healthy
42.9,62.8,Low,Medium,Moderate,Reduced Feeding|Ruffled Feathers|Watery Eyes|Twisted Neck|Difficulty Breathing|Reduced Egg Production,Newcastle Disease
41.5,82.8,Low,High,Weak,Reduced Feeding|Ruffled Feathers|Reduced Egg Production|Sneezing|Nasal Discharge,Avian Influenza
40.6,62.4,Medium,High,Moderate,Sneezing,Healthy
41.1,66.9,Medium,High,Weak,None,Healthy
41.2,49.4,High,High,Weak,None,Healthy
40.5,62.7,Medium,Medium,Weak,Reduced Egg Production|Ruffled Feathers,Healthy
42.2,87.1,Low,Medium,Weak,Watery Eyes|Nasal Discharge|Coughing|Difficulty Breathing|Reduced Egg Production|Lethargy,Avian Influenza
42.5,73.3,Low,Low,Weak,Reduced Egg Production|Watery Eyes|Nasal Discharge|Difficulty Breathing|Coughing,Avian Influenza
43.9,72.2,Low,Low,Weak,Twisted Neck|Lethargy|Difficulty Breathing|Reduced Feeding,Newcastle Disease
41.0,72.1,Low,Low,Weak,Watery Eyes|Nasal Discharge|Swollen Head|Coughing|Ruffled Feathers|Reduced Egg Production|Lethargy,Avian Influenza
42.1,86.8,Low,Low,Weak,Sneezing|Reduced Egg Production|Coughing|Lethargy|Twisted Neck,Avian Influenza
41.1,52.9,High,High,Active,None,Healthy
41.7,67.5,Low,Medium,Moderate,Coughing|Swollen Head|Watery Eyes|Ruffled Feathers|Nasal Discharge,Avian Influenza
43.1,67.1,Low,Low,Weak,Twisted Neck|Diarrhea|Reduced Egg Production|Difficulty Breathing|Watery Eyes|Reduced Feeding,Newcastle Disease
41.4,82.2,Low,Medium,Weak,Reduced Egg Production|Watery Eyes|Lethargy|Coughing|Difficulty Breathing|Swollen Head,Avian Influenza
41.9,75.0,Low,Medium,Weak,Ruffled Feathers|Difficulty Breathing|Reduced Egg Production|Nasal Discharge,Avian Influenza
40.8,45.3,High,Medium,Active,None,Healthy
41.2,74.1,High,High,Active,None,Healthy
41.2,53.0,Medium,High,Active,None,Healthy
42.2,81.5,Medium,Low,Moderate,Sneezing|Reduced Egg Production|Reduced Feeding|Nasal Discharge,Newcastle Disease
41.7,85.6,Low,Low,Weak,Reduced Feeding|Diarrhea|Difficulty Breathing,Avian Influenza
43.0,94.2,Low,Low,Weak,Reduced Feeding|Lethargy|Ruffled Feathers|Watery Eyes,Avian Influenza
41.1,55.1,High,High,Active,None,Healthy
43.1,60.5,Low,Medium,Active,Twisted Neck|Coughing|Watery Eyes,Newcastle Disease
43.2,55.0,Low,Low,Weak,Nasal Discharge|Difficulty Breathing|Reduced Feeding|Reduced Egg Production|Twisted Neck,Newcastle Disease
40.8,55.5,Medium,High,Active,Sneezing,Healthy
40.9,58.3,High,High,Moderate,Watery Eyes,Healthy
41.5,63.1,High,Low,Active,None,Healthy
42.5,59.7,Low,Low,Weak,Nasal Discharge|Sneezing|Watery Eyes|Coughing|Reduced Feeding|Reduced Egg Production,Avian Influenza
41.8,65.9,High,High,Active,None,Healthy
42.8,70.2,Low,Low,Weak,Sneezing|Ruffled Feathers|Diarrhea|Difficulty Breathing,Newcastle Disease
42.3,86.9,Low,Low,Weak,Swollen Head|Reduced Egg Production|Coughing|Nasal Discharge,Avian Influenza
41.3,67.2,Medium,High,Active,None,Healthy
42.6,91.5,Medium,Low,Weak,Ruffled Feathers|Sneezing|Lethargy|Reduced Feeding|Swollen Head,Avian Influenza
41.8,83.9,Low,Low,Weak,Reduced Egg Production|Reduced Feeding|Lethargy|Swollen Head|Difficulty Breathing,Avian Influenza
41.6,56.9,High,High,Active,None,Healthy
42.0,77.3,Low,Medium,Weak,Watery Eyes|Lethargy|Coughing|Diarrhea|Twisted Neck|Sneezing,Newcastle Disease
41.4,53.8,High,High,Active,None,Healthy
41.4,59.0,Medium,Medium,Moderate,Swollen Head,Healthy
40.8,64.6,High,Low,Moderate,None,Healthy
42.9,71.7,Medium,Low,Weak,Twisted Neck|Reduced Egg Production|Lethargy,Newcastle Disease
42.0,75.8,Low,Low,Weak,Coughing|Difficulty Breathing|Nasal Discharge|Ruffled Feathers|Lethargy|Twisted Neck,Newcastle Disease
41.2,66.4,High,High,Active,Nasal Discharge,Healthy
42.1,57.3,High,High,Active,None,Healthy
42.1,70.7,Medium,Medium,Weak,Nasal Discharge|Lethargy|Coughing|Sneezing,Avian Influenza
41.2,50.7,Low,Medium,Weak,Reduced Egg Production,Healthy
40.7,67.6,Medium,High,Active,Twisted Neck,Healthy
42.1,67.1,Low,Medium,Moderate,Twisted Neck|Lethargy|Reduced Egg Production|Difficulty Breathing|Watery Eyes|Ruffled Feathers|Coughing,Newcastle Disease
41.7,81.4,Medium,Medium,Moderate,Watery Eyes|Difficulty Breathing|Reduced Feeding,Avian Influenza
41.3,57.8,Medium,Low,Active,Diarrhea|Reduced Feeding,Healthy
42.4,75.2,Low,Low,Weak,Coughing|Reduced Egg Production|Twisted Neck|Reduced Feeding|Sneezing|Nasal Discharge|Watery Eyes,Newcastle Disease
41.1,90.1,Low,Low,Weak,Sneezing|Lethargy|Swollen Head|Reduced Feeding|Coughing|Diarrhea|Difficulty Breathing,Avian Influenza
41.3,60.5,Medium,High,Active,None,Healthy
41.4,45.5,High,Medium,Weak,Lethargy|Ruffled Feathers|Watery Eyes|Difficulty Breathing|Swollen Head,Avian Influenza
40.8,47.8,Medium,Medium,Active,None,Healthy
41.9,75.7,Medium,Low,Weak,Difficulty Breathing|Diarrhea|Reduced Feeding|Reduced Egg Production|Coughing|Lethargy,Newcastle Disease
43.1,95.9,Low,Medium,Weak,Difficulty Breathing|Twisted Neck|Reduced Feeding|Nasal Discharge|Swollen Head,Newcastle Disease
42.6,90.8,Low,Low,Moderate,Nasal Discharge|Watery Eyes|Ruffled Feathers|Coughing|Twisted Neck|Lethargy|Reduced Egg Production,Newcastle Disease
40.6,65.2,High,Medium,Active,None,Healthy
42.6,80.1,Medium,Low,Weak,Nasal Discharge|Diarrhea|Sneezing|Reduced Feeding|Lethargy,Avian Influenza
41.0,48.1,High,High,Active,None,Healthy
40.5,76.2,High,Medium,Moderate,None,Healthy
40.9,63.7,High,High,Moderate,Sneezing,Healthy
42.5,70.5,Low,Low,Weak,Twisted Neck|Lethargy|Reduced Feeding|Reduced Egg Production|Coughing|Diarrhea|Watery Eyes,Newcastle Disease
41.8,91.4,Low,Medium,Weak,Reduced Egg Production|Twisted Neck|Lethargy|Difficulty Breathing|Nasal Discharge|Reduced Feeding|Diarrhea,Newcastle Disease
41.0,45.1,Medium,Low,Active,Reduced Egg Production,Healthy
42.8,65.4,Medium,Low,Weak,Difficulty Breathing|Coughing|Reduced Egg Production|Sneezing|Twisted Neck|Reduced Feeding,Newcastle Disease
41.8,62.9,High,High,Moderate,Diarrhea,Healthy
42.4,86.7,Medium,Low,Weak,Twisted Neck|Sneezing|Difficulty Breathing|Nasal Discharge|Swollen Head|Coughing,Newcastle Disease
41.4,62.7,High,Medium,Weak,Diarrhea,Healthy
41.9,63.3,Medium,Medium,Weak,Coughing|Reduced Feeding|Twisted Neck|Sneezing|Lethargy|Swollen Head|Ruffled Feathers,Newcastle Disease
41.1,66.2,High,Medium,Moderate,Diarrhea,Healthy
42.4,32.0,Low,Low,Weak,Reduced Feeding|Sneezing|Watery Eyes|Ruffled Feathers|Difficulty Breathing|Nasal Discharge,Avian Influenza
41.7,61.6,High,High,Active,Lethargy|Diarrhea,Healthy
40.9,57.7,Medium,High,Active,None,Healthy
40.2,49.6,Medium,Medium,Active,None,Healthy
42.1,82.9,Low,Low,Weak,Nasal Discharge|Coughing|Difficulty Breathing|Swollen Head|Lethargy|Sneezing|Reduced Feeding,Avian Influenza
41.4,95.2,Low,High,Weak,Ruffled Feathers|Coughing|Lethargy|Sneezing,Avian Influenza
41.7,47.9,High,Low,Weak,Diarrhea|Coughing,Healthy
43.1,69.3,Low,Low,Weak,Swollen Head|Watery Eyes|Reduced Egg Production,Newcastle Disease
41.0,84.6,Low,Low,Moderate,Coughing|Ruffled Feathers|Diarrhea|Watery Eyes|Difficulty Breathing|Reduced Egg Production,Avian Influenza
42.0,56.1,Medium,Low,Weak,Ruffled Feathers|Twisted Neck|Reduced Egg Production,Newcastle Disease
43.6,73.4,High,High,Moderate,Sneezing|Swollen Head|Coughing|Reduced Feeding|Twisted Neck,Newcastle Disease
41.2,69.8,Medium,High,Active,None,Healthy
40.8,59.7,High,Medium,Active,Lethargy,Healthy
42.5,67.6,Low,Low,Weak,Coughing|Difficulty Breathing|Watery Eyes,Avian Influenza
42.2,78.1,Medium,Low,Weak,Difficulty Breathing|Diarrhea|Swollen Head|Reduced Egg Production|Watery Eyes|Nasal Discharge|Coughing,Avian Influenza
42.4,64.7,Medium,Low,Weak,Twisted Neck|Sneezing|Nasal Discharge|Swollen Head|Coughing,Newcastle Disease
41.2,72.7,High,Medium,Moderate,None,Healthy
41.8,63.1,High,High,Moderate,Twisted Neck,Healthy
42.2,84.9,Low,Medium,Weak,Sneezing|Diarrhea|Difficulty Breathing|Reduced Feeding,Avian Influenza
41.0,86.6,Medium,Low,Weak,Nasal Discharge|Reduced Feeding|Ruffled Feathers,Avian Influenza
40.9,60.0,Medium,Low,Weak,Difficulty Breathing|Nasal Discharge|Swollen Head|Lethargy|Sneezing|Coughing,Avian Influenza
41.3,44.6,Medium,High,Weak,Ruffled Feathers|Lethargy|Sneezing,Avian Influenza
43.6,85.3,Low,Medium,Weak,Difficulty Breathing|Twisted Neck|Diarrhea,Newcastle Disease
41.4,56.7,Medium,High,Active,None,Healthy
40.9,53.7,Medium,High,Active,None,Healthy
42.9,77.5,Low,Low,Weak,Lethargy|Sneezing|Difficulty Breathing|Reduced Egg Production|Watery Eyes,Avian Influenza
42.3,82.7,Low,Low,Active,Twisted Neck|Swollen Head|Reduced Feeding|Lethargy|Difficulty Breathing|Nasal Discharge|Reduced Egg Production,Newcastle Disease
41.5,64.9,High,High,Moderate,Difficulty Breathing|Watery Eyes,Healthy
40.5,58.0,High,Medium,Active,None,Healthy
43.7,63.7,Low,Medium,Weak,Sneezing|Twisted Neck|Coughing,Newcastle Disease
41.2,66.4,High,High,Weak,None,Healthy
41.1,60.2,High,High,Active,None,Healthy
42.6,81.0,Medium,Medium,Weak,Nasal Discharge|Twisted Neck|Reduced Feeding|Coughing,Newcastle Disease
42.4,86.6,Low,Low,Weak,Twisted Neck|Difficulty Breathing|Diarrhea|Ruffled Feathers|Reduced Feeding|Sneezing|Coughing,Newcastle Disease
43.1,76.1,Low,Low,Moderate,Reduced Egg Production|Diarrhea|Lethargy|Twisted Neck|Nasal Discharge|Reduced Feeding|Difficulty Breathing,Newcastle Disease
41.4,58.8,High,High,Moderate,None,Healthy
42.5,89.1,Low,Low,Active,Diarrhea|Coughing|Ruffled Feathers|Watery Eyes,Avian Influenza
41.2,67.9,High,High,Moderate,Nasal Discharge,Healthy
41.5,55.5,Medium,High,Active,None,Healthy
43.1,91.8,Medium,Low,Weak,Sneezing|Watery Eyes|Difficulty Breathing|Lethargy|Nasal Discharge|Reduced Feeding,Avian Influenza
42.5,57.3,Medium,Low,Weak,Reduced Egg Production|Diarrhea|Sneezing|Watery Eyes|Twisted Neck|Ruffled Feathers|Swollen Head,Newcastle Disease
42.5,82.1,Low,Medium,Moderate,Nasal Discharge|Reduced Feeding|Coughing|Sneezing|Diarrhea|Difficulty Breathing|Lethargy,Avian Influenza
42.4,80.9,Low,Low,Weak,Watery Eyes|Nasal Discharge|Lethargy|Twisted Neck,Newcastle Disease
43.2,99.0,Low,Low,Weak,Lethargy|Sneezing|Difficulty Breathing|Coughing|Reduced Egg Production|Twisted Neck,Newcastle Disease
41.5,57.5,Low,Medium,Active,Sneezing|Difficulty Breathing,Healthy
41.0,59.4,Medium,High,Active,Reduced Egg Production|Twisted Neck,Healthy
40.9,75.2,Medium,Low,Active,Diarrhea,Healthy
41.5,63.2,High,Medium,Moderate,None,Healthy
41.0,67.5,Low,Low,Weak,Lethargy|Diarrhea|Swollen Head,Avian Influenza
41.1,69.9,High,Medium,Active,Sneezing,Healthy
42.0,70.4,Low,Medium,Moderate,Reduced Egg Production|Nasal Discharge|Sneezing|Ruffled Feathers|Swollen Head,Avian Influenza
43.3,76.3,Low,Low,Weak,Ruffled Feathers|Nasal Discharge|Twisted Neck,Newcastle Disease
42.1,68.3,Low,Low,Weak,Reduced Egg Production|Ruffled Feathers|Nasal Discharge,Avian Influenza
42.2,85.2,Low,High,Weak,Coughing|Nasal Discharge|Twisted Neck|Sneezing|Ruffled Feathers,Newcastle Disease
42.6,71.2,Low,Low,Moderate,Coughing|Twisted Neck|Ruffled Feathers,Newcastle Disease
42.9,84.1,Low,Medium,Moderate,Reduced Feeding|Sneezing|Difficulty Breathing,Newcastle Disease
40.7,61.8,High,High,Weak,None,Healthy
40.8,76.1,Low,Low,Weak,Sneezing|Swollen Head|Nasal Discharge|Ruffled Feathers|Reduced Feeding|Reduced Egg Production,Avian Influenza
42.4,57.9,High,Medium,Weak,Sneezing|Twisted Neck,Healthy
41.0,74.6,Medium,Medium,Active,Coughing|Diarrhea,Healthy
41.0,83.2,Low,High,Weak,Reduced Egg Production|Reduced Feeding|Difficulty Breathing|Diarrhea|Nasal Discharge|Twisted Neck|Watery Eyes,Newcastle Disease
41.2,62.1,Medium,High,Active,None,Healthy
40.8,78.5,Medium,Medium,Weak,Sneezing|Reduced Feeding|Swollen Head|Difficulty Breathing|Lethargy,Avian Influenza
41.1,67.9,Low,Low,Moderate,Sneezing|Difficulty Breathing|Swollen Head|Nasal Discharge|Reduced Feeding,Avian Influenza
40.6,76.9,Low,Low,Weak,Difficulty Breathing|Reduced Feeding|Reduced Egg Production,Avian Influenza
41.3,52.8,High,High,Moderate,None,Healthy
41.7,80.8,Medium,High,Moderate,None,Healthy
42.8,75.8,High,High,Weak,Coughing|Reduced Feeding|Lethargy|Watery Eyes,Avian Influenza
41.5,79.6,Low,Medium,Weak,Twisted Neck|Nasal Discharge|Coughing|Lethargy,Newcastle Disease
41.8,68.6,Low,Low,Weak,Reduced Feeding|Swollen Head|Nasal Discharge,Avian Influenza
42.1,85.9,Low,Low,Weak,Lethargy|Swollen Head|Difficulty Breathing,Avian Influenza
43.2,83.4,Low,Medium,Weak,Sneezing|Reduced Egg Production|Twisted Neck,Avian Influenza
41.0,61.7,Medium,High,Moderate,None,Healthy
41.4,66.4,High,High,Active,Ruffled Feathers,Healthy
41.9,82.3,Low,Low,Weak,Difficulty Breathing|Lethargy|Coughing|Swollen Head|Nasal Discharge|Sneezing|Reduced Feeding,Avian Influenza
41.7,63.2,High,High,Moderate,Ruffled Feathers,Healthy
41.2,41.5,Medium,Medium,Active,None,Healthy
42.4,77.8,Low,Low,Active,Swollen Head|Coughing|Lethargy|Sneezing|Difficulty Breathing,Newcastle Disease
40.9,72.0,Low,Low,Moderate,Lethargy|Sneezing|Watery Eyes|Reduced Feeding|Swollen Head|Ruffled Feathers,Avian Influenza
44.0,85.7,Low,Low,Weak,Sneezing|Nasal Discharge|Reduced Egg Production|Difficulty Breathing,Newcastle Disease
43.1,64.0,Medium,Low,Weak,Coughing|Sneezing|Lethargy,Newcastle Disease
40.6,56.4,Low,High,Moderate,Sneezing,Healthy
42.6,62.6,Low,Low,Weak,Nasal Discharge|Sneezing|Twisted Neck,Newcastle Disease
41.7,89.1,Medium,Low,Weak,Swollen Head|Reduced Feeding|Ruffled Feathers|Difficulty Breathing|Lethargy,Avian Influenza
40.9,68.2,Low,Medium,Moderate,None,Healthy
41.6,68.0,Low,Medium,Weak,Difficulty Breathing|Coughing|Diarrhea,Newcastle Disease
43.5,77.3,Low,Low,Weak,Reduced Feeding|Lethargy|Nasal Discharge|Coughing|Swollen Head,Avian Influenza
42.8,56.9,Medium,High,Weak,Nasal Discharge|Swollen Head|Reduced Egg Production|Ruffled Feathers|Difficulty Breathing,Avian Influenza
41.6,75.8,Low,Low,Moderate,Sneezing|Difficulty Breathing|Watery Eyes,Newcastle Disease
42.5,80.9,Medium,Medium,Weak,Lethargy|Nasal Discharge|Coughing|Difficulty Breathing|Watery Eyes|Sneezing|Diarrhea,Avian Influenza
41.5,64.1,High,Medium,Active,None,Healthy
41.5,60.2,Medium,High,Active,None,Healthy
42.3,61.6,Low,Low,Weak,Coughing|Swollen Head|Nasal Discharge|Watery Eyes|Sneezing,Avian Influenza
42.6,62.9,Medium,High,Weak,Lethargy|Swollen Head|Difficulty Breathing|Reduced Feeding|Ruffled Feathers,Avian Influenza
40.8,69.2,Low,High,Moderate,Watery Eyes|Reduced Egg Production|Twisted Neck|Nasal Discharge|Difficulty Breathing|Reduced Feeding,Avian Influenza
42.5,76.4,Medium,Low,Weak,Coughing|Swollen Head|Difficulty Breathing|Reduced Feeding,Avian Influenza
42.1,77.8,Low,Medium,Weak,Reduced Egg Production|Twisted Neck|Lethargy|Difficulty Breathing|Nasal Discharge,Newcastle Disease
41.9,80.4,Low,Medium,Weak,Sneezing|Reduced Feeding|Difficulty Breathing|Watery Eyes|Coughing,Newcastle Disease
